kanji,level
亜,59
哀,47
挨,44
愛,17
曖,
悪,12
握,42
圧,20
扱,38
宛,
嵐,44
安,6
案,22
暗,13
以,7
衣,41
位,11
囲,14
医,8
依,36
委,21
威,43
為,35
畏,
胃,27
尉,56
異,33
移,28
萎,
偉,51
椅,46
彙,
意,11
違,24
維,36
慰,43
遺,36
緯,53
域,22
育,11
一,1
壱,
逸,54
茨,52
芋,34
引,3
印,26
因,17
咽,
姻,59
員,12
院,10
淫,
陰,45
飲,10
隠,25
韻,
右,2
宇,19
羽,5
雨,5
唄,60
鬱,50
畝,
浦,51
運,10
雲,8
永,32
泳,9
英,15
映,13
栄,17
営,22
詠,59
影,25
鋭,40
衛,32
易,19
疫,50
益,28
液,32
駅,13
悦,56
越,30
謁,
閲,57
円,2
延,30
沿,34
炎,35
怨,
宴,29
媛,51
援,22
園,16
煙,18
猿,46
遠,16
鉛,26
塩,17
演,23
縁,44
艶,
汚,32
王,2
凹,57
央,4
応,22
往,26
押,30
旺,
欧,29
殴,48
桜,32
翁,
奥,38
横,10
岡,21
屋,9
億,13
憶,48
臆,
虞,
乙,57
俺,44
卸,54
音,5
恩,32
温,12
穏,46
下,1
化,6
火,2
加,19
可,18
仮,9
何,5
花,4
佳,55
価,22
果,17
河,26
苛,
科,6
架,46
夏,7
家,7
荷,16
華,31
菓,26
貨,31
渦,51
過,22
嫁,45
暇,27
禍,59
靴,27
寡,60
歌,10
箇,
稼,45
課,13
蚊,48
牙,36
瓦,
我,26
画,6
芽,44
賀,22
雅,40
餓,48
介,35
回,5
灰,33
会,5
快,30
戒,40
改,19
怪,26
拐,54
悔,48
海,6
界,9
皆,13
械,20
絵,8
開,10
階,12
塊,45
楷,
解,21
潰,
壊,29
懐,30
諧,
貝,4
外,3
劾,60
害,20
崖,47
涯,50
街,29
慨,58
蓋,
該,55
概,49
骸,
垣,43
柿,
各,22
角,5
拡,33
革,23
格,14
核,36
殻,58
郭,55
覚,17
較,26
隔,49
閣,29
確,20
獲,40
嚇,
穫,48
学,5
岳,43
楽,8
額,24
顎,
掛,25
潟,42
括,42
活,6
喝,57
渇,30
割,23
葛,
滑,42
褐,
轄,56
且,54
株,24
釜,
鎌,54
刈,49
干,17
刊,38
甘,36
汗,26
缶,44
完,14
肝,42
官,17
冠,54
巻,25
看,23
陥,52
乾,29
勘,49
患,37
貫,52
寒,12
喚,51
堪,59
換,36
敢,57
棺,
款,57
間,8
閑,59
勧,39
寛,53
幹,23
感,13
漢,10
慣,25
管,24
関,16
歓,34
監,29
緩,38
憾,55
還,38
館,13
環,24
簡,33
観,22
韓,29
艦,41
鑑,31
丸,2
含,25
岸,11
岩,15
玩,
眼,32
頑,14
顔,10
願,13
企,21
伎,36
危,16
机,32
気,4
岐,39
希,14
忌,59
汽,18
奇,28
祈,18
季,14
紀,15
軌,50
既,31
記,7
起,10
飢,48
鬼,23
帰,15
基,14
寄,29
規,23
亀,35
喜,17
幾,31
揮,34
期,12
棋,39
貴,34
棄,41
毀,
旗,30
器,13
畿,
輝,48
機,20
騎,48
技,14
宜,38
偽,41
欺,47
義,21
疑,13
儀,41
戯,58
擬,59
犠,40
議,20
菊,46
吉,44
喫,18
詰,29
却,38
客,9
脚,45
逆,28
虐,53
九,1
久,32
及,36
弓,18
丘,44
旧,36
休,4
吸,22
朽,58
臼,
求,10
究,8
泣,15
急,16
級,11
糾,42
宮,22
救,31
球,12
給,27
嗅,
窮,56
牛,3
去,4
巨,28
居,25
拒,39
拠,41
挙,21
虚,17
許,18
距,43
魚,7
御,39
漁,37
凶,45
共,11
叫,44
狂,45
京,6
享,58
供,24
協,14
況,25
峡,57
挟,51
狭,24
恐,29
恭,56
胸,18
脅,48
強,7
教,7
郷,41
境,24
橋,13
矯,60
鏡,13
競,11
響,25
驚,31
仰,50
暁,58
業,10
凝,55
曲,6
局,8
極,27
玉,2
巾,47
斤,5
均,31
近,5
金,5
菌,45
勤,34
琴,43
筋,33
僅,
禁,18
緊,29
錦,53
謹,60
襟,51
吟,59
銀,13
区,15
句,18
苦,9
駆,40
具,9
惧,
愚,54
空,5
偶,50
遇,52
隅,51
串,37
屈,27
掘,42
窟,
熊,35
繰,38
君,8
訓,18
勲,54
薫,
軍,15
郡,51
群,39
兄,5
刑,37
形,5
系,30
径,31
茎,54
係,16
型,24
契,37
計,15
恵,37
啓,53
掲,37
渓,60
経,20
蛍,41
敬,33
景,25
軽,10
傾,38
携,40
継,36
詣,
慶,59
憬,
稽,
憩,47
警,17
鶏,58
芸,14
迎,32
鯨,54
隙,48
劇,17
撃,28
激,26
桁,
欠,7
穴,20
血,6
決,8
結,17
傑,58
潔,28
月,2
犬,2
件,21
見,4
券,28
肩,24
建,15
研,8
県,9
倹,60
兼,40
剣,35
拳,41
軒,51
健,27
険,16
圏,39
堅,42
検,21
嫌,20
献,36
絹,58
遣,37
権,21
憲,28
賢,48
謙,39
鍵,46
繭,
顕,54
験,9
懸,38
元,3
幻,17
玄,51
言,5
弦,56
限,25
原,17
現,23
舷,
減,19
源,34
厳,32
己,35
戸,3
古,3
呼,23
固,14
股,
虎,41
孤,52
弧,42
故,26
枯,51
個,20
庫,28
湖,35
雇,39
誇,46
鼓,57
錮,
顧,40
五,2
互,35
午,3
呉,56
後,6
娯,44
悟,49
碁,46
語,10
誤,34
護,23
口,1
工,1
公,3
勾,
孔,46
功,11
巧,50
広,3
甲,39
交,5
光,5
向,6
后,50
好,11
江,29
考,5
行,5
坑,60
孝,40
抗,37
攻,28
更,30
効,25
幸,16
拘,49
肯,51
侯,
厚,20
恒,52
洪,56
皇,33
紅,34
荒,42
郊,51
香,37
候,25
校,7
耕,51
航,29
貢,43
降,34
高,7
康,27
控,39
梗,
黄,7
喉,18
慌,49
港,12
硬,45
絞,25
項,39
溝,45
鉱,41
構,25
綱,42
酵,57
稿,53
興,32
衡,57
鋼,39
講,35
購,30
乞,
号,4
合,12
拷,60
剛,49
傲,54
豪,31
克,42
告,18
谷,5
刻,34
国,6
黒,7
穀,56
酷,54
獄,35
骨,14
駒,49
込,32
頃,45
今,3
困,20
昆,19
恨,47
根,12
婚,30
混,19
痕,
紺,57
魂,45
墾,
懇,43
左,2
佐,47
沙,59
査,21
砂,33
唆,52
差,24
詐,47
鎖,52
座,18
挫,
才,2
再,26
災,20
妻,20
采,
砕,47
宰,56
栽,54
彩,48
採,32
済,21
祭,12
斎,42
細,17
菜,31
最,10
裁,23
債,36
催,29
塞,
歳,46
載,24
際,21
埼,39
在,20
材,14
剤,40
財,19
罪,20
崎,23
作,5
削,37
昨,15
柵,
索,29
策,22
酢,35
搾,56
錯,56
咲,48
冊,19
札,7
刷,43
刹,
拶,44
殺,13
察,17
撮,30
擦,43
雑,32
皿,4
三,1
山,1
参,14
桟,60
蚕,
惨,53
産,20
傘,28
散,31
算,10
酸,32
賛,32
残,14
斬,46
暫,42
士,13
子,2
支,8
止,3
氏,7
仕,4
史,19
司,15
四,2
市,3
矢,3
旨,43
死,6
糸,4
至,41
伺,41
志,32
私,6
使,9
刺,26
始,10
姉,6
枝,34
祉,39
肢,
姿,22
思,6
指,11
施,23
師,23
恣,
紙,7
脂,51
視,24
紫,49
詞,19
歯,12
嗣,
試,9
詩,13
資,21
飼,32
誌,33
雌,59
摯,
賜,
諮,50
示,22
字,4
寺,15
次,6
耳,4
自,5
似,31
児,28
事,9
侍,44
治,16
持,9
時,7
滋,43
慈,51
辞,16
磁,34
餌,
璽,
鹿,36
式,15
識,17
軸,42
七,1
𠮟,
失,7
室,6
疾,54
執,37
湿,45
嫉,
漆,59
質,24
実,9
芝,42
写,4
社,5
車,4
舎,35
者,8
射,34
捨,32
赦,58
斜,48
煮,49
遮,57
謝,13
邪,50
蛇,48
尺,47
借,18
