,Kanji,Genki_Level
0,一,3
1,二,3
2,三,3
3,四,3
4,五,3
5,六,3
6,七,3
7,八,3
8,九,3
9,十,3
10,百,3
11,千,3
12,万,3
13,円,3
14,時,3
15,日,4
16,本,4
17,人,4
18,月,4
19,火,4
20,水,4
21,木,4
22,金,4
23,土,4
24,曜,4
25,上,4
26,下,4
27,中,4
28,半,4
29,山,5
30,川,5
31,元,5
32,気,5
33,天,5
34,私,5
35,今,5
36,田,5
37,女,5
38,男,5
39,見,5
40,行,5
41,食,5
42,飲,5
43,東,6
44,西,6
45,南,6
46,北,6
47,口,6
48,出,6
49,右,6
50,左,6
51,分,6
52,先,6
53,生,6
54,大,6
55,学,6
56,外,6
57,国,6
58,京,7
59,子,7
60,小,7
61,会,7
62,社,7
63,父,7
64,母,7
65,高,7
66,校,7
67,毎,7
68,語,7
69,文,7
70,帰,7
71,入,7
72,員,8
73,新,8
74,聞,8
75,作,8
76,仕,8
77,事,8
78,電,8
79,車,8
80,休,8
81,言,8
82,読,8
83,思,8
84,次,8
85,何,8
86,午,9
87,後,9
88,前,9
89,名,9
90,白,9
91,雨,9
92,書,9
93,友,9
94,間,9
95,家,9
96,話,9
97,少,9
98,古,9
99,知,9
100,来,9
101,住,10
102,正,10
103,年,10
104,売,10
105,買,10
106,町,10
107,長,10
108,道,10
109,雪,10
110,立,10
111,自,10
112,夜,10
113,朝,10
114,持,10
115,手,11
116,紙,11
117,好,11
118,近,11
119,明,11
120,病,11
121,院,11
122,映,11
123,画,11
124,歌,11
125,市,11
126,所,11
127,勉,11
128,強,11
129,有,11
130,旅,11
131,昔,12
132,々,12
133,神,12
134,早,12
135,起,12
136,牛,12
137,使,12
138,働,12
139,連,12
140,別,12
141,度,12
142,赤,12
143,青,12
144,色,12
145,物,13
146,鳥,13
147,料,13
148,理,13
149,特,13
150,安,13
151,飯,13
152,肉,13
153,悪,13
154,体,13
155,空,13
156,港,13
157,着,13
158,同,13
159,海,13
160,昼,13
161,彼,14
162,代,14
163,留,14
164,族,14
165,親,14
166,切,14
167,英,14
168,店,14
169,去,14
170,急,14
171,乗,14
172,当,14
173,音,14
174,楽,14
175,医,14
176,者,14
177,死,15
178,意,15
179,味,15
180,注,15
181,夏,15
182,魚,15
183,寺,15
184,広,15
185,転,15
186,借,15
187,走,15
188,建,15
189,地,15
190,場,15
191,足,15
192,通,15
193,供,16
194,世,16
195,界,16
196,全,16
197,部,16
198,始,16
199,週,16
200,以,16
201,考,16
202,開,16
203,屋,16
204,方,16
205,運,16
206,動,16
207,教,16
208,室,16
209,歳,17
210,習,17
211,主,17
212,結,17
213,婚,17
214,集,17
215,発,17
216,表,17
217,品,17
218,字,17
219,活,17
220,写,17
221,真,17
222,歩,17
223,野,17
224,目,18
225,的,18
226,力,18
227,洋,18
228,服,18
229,堂,18
230,授,18
231,業,18
232,試,18
233,験,18
234,貸,18
235,図,18
236,館,18
237,終,18
238,宿,18
239,題,18
240,春,19
241,秋,19
242,冬,19
243,花,19
244,様,19
245,不,19
246,姉,19
247,兄,19
248,漢,19
249,卒,19
250,工,19
251,研,19
252,究,19
253,質,19
254,問,19
255,多,19
256,皿,20
257,声,20
258,茶,20
259,止,20
260,枚,20
261,両,20
262,無,20
263,払,20
264,心,20
265,笑,20
266,絶,20
267,対,20
268,痛,20
269,最,20
270,続,20
271,信,21
272,経,21
273,台,21
274,風,21
275,犬,21
276,重,21
277,初,21
278,若,21
279,送,21
280,幸,21
281,計,21
282,遅,21
283,配,21
284,弟,21
285,妹,21
286,記,22
287,銀,22
288,回,22
289,夕,22
290,黒,22
291,用,22
292,守,22
293,末,22
294,待,22
295,残,22
296,番,22
297,駅,22
298,説,22
299,案,22
300,内,22
301,忘,22
302,顔,23
303,情,23
304,怒,23
305,変,23
306,相,23
307,横,23
308,比,23
309,化,23
310,違,23
311,悲,23
312,調,23
313,査,23
314,果,23
315,感,23
316,答,23
